	date	province	PRcode	HRUID	health_region	TotalBoth	Age12plusBoth	total_doses_administered	total_fully_vaccinated	total_1st_dose	pct_12plus_first	pct_12plus_second	pct_12plus_tot	cases_last_14_days
0	2020-12-14	British Columbia	BC	591	Fraser Health	1961951.0	1721508.0	0.0	0	0	0.0	0.0	0.0	322.3323841709564
1	2020-12-14	Ontario	ON	3563	Timiskaming Health Unit	33742.0	29551.0	0.0	0	0	0.0	0.0	0.0	28.668395202259745
2	2020-12-14	Ontario	ON	3562	Thunder Bay District Health Unit	156986.0	138008.0	0.0	0	0	0.0	0.0	0.0	87.05167481624943
3	2020-12-14	Ontario	ON	3561	Sudbury and District Health Unit	205175.0	181536.0	0.0	0	0	0.0	0.0	0.0	7.795105648041242
4	2020-12-14	Ontario	ON	3560	Simcoe Muskoka District Health Unit	608746.0	535157.0	0.0	0	0	0.0	0.0	0.0	97.07948607424544
5	2020-12-14	Ontario	ON	3558	The Eastern Ontario Health Unit	216569.0	189253.0	0.0	0	0	0.0	0.0	0.0	116.67669305293865
6	2020-12-14	Ontario	ON	3557	Renfrew County and District Health Unit	108524.0	94951.0	0.0	0	0	0.0	0.0	0.0	62.02934738805085
7	2020-12-14	Ontario	ON	3566	Wellington-Dufferin-Guelph Health Unit	313848.0	271461.0	0.0	0	0	0.0	0.0	0.0	150.50655736053528
8	2020-12-14	Ontario	ON	3556	Porcupine Health Unit	84775.0	73483.0	0.0	0	0	0.0	0.0	0.0	12.773109243697483
9	2020-12-14	Ontario	ON	3553	Peel Regional Health Unit	1584273.0	1378144.0	0.0	0	0	0.0	0.0	0.0	409.8111658193952
10	2020-12-14	Ontario	ON	3551	City of Ottawa Health Unit	1052217.0	922250.0	0.0	0	0	0.0	0.0	0.0	57.83418311099422
11	2020-12-14	Ontario	ON	3549	Northwestern Health Unit	80986.0	68724.0	0.0	0	0	0.0	0.0	0.0	20.411933942758612
12	2020-12-14	Ontario	ON	3547	North Bay Parry Sound District Health Unit	129470.0	115443.0	0.0	0	0	0.0	0.0	0.0	12.59451409480798
13	2020-12-14	Ontario	ON	3546	Niagara Regional Area Health Unit	484809.0	430520.0	0.0	0	0	0.0	0.0	0.0	97.23942636152245
